model,term,VIF
A0,rph_link,1.348903076542003
A0,rph_user,1.2630533352913627
A0,rph_delta,1.0377639523832303
A0,toxicity,1.007614329621963
A0,reaction_score,1.0804908249605427
A0,Economy,2.5419074859015693
A0,Education,2.611768595173205
A0,Health,3.2507259435392877
A0,Security,3.9185926209185564
A0,Culture,4.690550749344592
A0,Religion,2.59656946467181
A0,Disinformation,3.412316350991878
A0,Election,3.845508325608609
A0,Politics,4.864358090854143
A0,Corruption,4.348605991519988
A1,rph_link,1.3577250574770279
A1,rph_user,1.2724749463717142
A1,rph_delta,1.0370618150881927
A1,toxicity,1.0075700968105772
A1,reaction_score,1.0816268991748605
A1,log_total_reactions,1.0071916217900119
A1,Economy,2.541377911571975
A1,Education,2.6121833572922233
A1,Health,3.249311770309966
A1,Security,3.928685162921875
A1,Culture,4.699193788450335
A1,Religion,2.5994049137190243
A1,Disinformation,3.4140785548886625
A1,Election,3.848229841684443
A1,Politics,4.842694413692873
A1,Corruption,4.356194201638978
A2,rph_link,1.355587237567427
A2,rph_user,1.2705348394253517
A2,rph_delta,1.0411323876442147
A2,toxicity,1.0081766452216525
A2,reaction_score,1.0813015340439953
A2,log_author_links,1.0062235038949918
A2,Economy,2.542043732380303
A2,Education,2.6171227153971506
A2,Health,3.2508385062160423
A2,Security,3.9247928191697983
A2,Culture,4.700484280057597
A2,Religion,2.600191272927447
A2,Disinformation,3.411864003418375
A2,Election,3.849162776558967
A2,Politics,4.859728576500801
A2,Corruption,4.349480241039244
A3,rph_link,1.3633907282160427
A3,rph_user,1.2781233053106573
A3,rph_delta,1.041727621207449
A3,toxicity,1.011023343888288
A3,reaction_score,1.082388353308872
A3,log_total_reactions,1.0363177601624332
A3,log_author_links,1.0387177647076398
A3,Economy,2.5408522983250714
A3,Education,2.6174858320053067
A3,Health,3.250527207154063
A3,Security,3.9333627805096074
A3,Culture,4.706935701218008
A3,Religion,2.6019123136701165
A3,Disinformation,3.4127822319631367
A3,Election,3.852240939670312
A3,Politics,4.841138688718813
A3,Corruption,4.3558553630178265
A4,rph_link,1.145229078472005
A4,rph_user,1.0973562231258192
A4,rph_delta,1.0210308693297712
A4,toxicity,1.0116486797232676
A4,log_total_reactions,1.0409659560434714
A4,log_author_links,1.0489826905250406
A4,Economy,2.3836934585495015
A4,Education,2.5851286770044304
A4,Health,3.222849391015709
A4,Security,3.753082676385805
A4,Culture,4.5565998855565715
A4,Religion,2.6398065817178944
A4,Disinformation,3.169314487739779
A4,Election,3.5599235633584763
A4,Politics,4.557277003665359
A4,Corruption,4.079073394826514
A5,rph_link,1.3224188095345535
A5,rph_user,1.2446967008100647
A5,rph_delta,1.0546879835440208
A5,toxicity,1.014829483236168
A5,reaction_score,1.079497844384858
A5,log_total_reactions,1.0433216090087392
A5,log_author_links,1.0594323365012521
A5,Economy,2.5238140352417804
A5,Education,2.6279100365457952
A5,Health,3.249866411974031
A5,Security,3.885278771222115
A5,Culture,4.654341529954926
A5,Religion,2.5832289626447493
A5,Disinformation,3.4280543554158784
A5,Election,3.8608905159349733
A5,Politics,4.858040209838779
A5,Corruption,4.3470886341782675
B1,content_leaning,2.035071340664343
B1,content_extremity,1.8114360977209856
B1,publisher_leaning,1.3852641321814132
B1,publisher_extremity,1.2587542060984507
B1,rph_delta,1.1327534763279
B1,toxicity,1.0096460833866463
B1,reaction_score,1.089688325668143
B1,Economy,2.544400108270651
B1,Education,2.6212426780320306
B1,Health,3.2630142686018706
B1,Security,3.9282727444424483
B1,Culture,4.716585632054829
B1,Religion,2.601030117472031
B1,Disinformation,3.4375991370795593
B1,Election,3.8645255656059203
B1,Politics,4.915539227226917
B1,Corruption,4.35217722111267
B2,content_side,1.3468005964736378
B2,publisher_side,1.2822090593655977
B2,rph_delta,1.071980266399879
B2,toxicity,1.0089663179975472
B2,reaction_score,1.0882271949393036
B2,Economy,2.5406230968163364
B2,Education,2.6061680712288826
B2,Health,3.249849402829977
B2,Security,3.9222140757110084
B2,Culture,4.701895505372955
B2,Religion,2.59630795650128
B2,Disinformation,3.484253404270753
B2,Election,3.8231078130762484
B2,Politics,4.8531503935780185
B2,Corruption,4.340115946015816
C,content_leaning,2.05938896376866
C,content_extremity,1.8271547849218779
C,publisher_leaning,1.4094443610754335
C,publisher_extremity,1.2988741266661143
C,rph_delta,1.1350416150916582
C,toxicity,1.0156763450888344
C,reaction_score,1.0919551839634454
C,log_total_reactions,1.0485563474486852
C,log_author_links,1.065233285691974
C,Economy,2.5437026648801875
C,Education,2.6264210438440427
C,Health,3.2648664721797163
C,Security,3.9413970294916503
C,Culture,4.731362742230922
C,Religion,2.6060370319068182
C,Disinformation,3.4364003152861877
C,Election,3.8704306992105013
C,Politics,4.89595465683711
C,Corruption,4.357575924363674
