model,group,sd_intercept,sd_toxicity,corr
A0,account_name,0.36541177593836915,0.15344978935297895,0.20963891568028037
A0,collection_name,0.43205192397914133,0.16305435123241513,0.055323068714427236
A1,account_name,0.32066026302486245,0.148313598482621,0.3791411134498235
A1,collection_name,0.4382968599317346,0.16606478810264483,0.03909287727006285
A2,account_name,0.33373644384923684,0.1519874256130565,0.20853844837000604
A2,collection_name,0.43096251645083855,0.16171702624312523,0.04101793257090011
A3,account_name,0.2984083104564064,0.1469137698248417,0.37515797960132036
A3,collection_name,0.436290879348259,0.16506448044657696,0.03049982307851304
A4,account_name,0.3164019482234674,0.14922253722332993,0.5577152405883788
A4,collection_name,1.0700142269229,0.12394379565029968,0.03821530469880647
A5,account_name,0.29743131038233017,0.145442573679892,0.3233265862441651
A5,collection_name,0.4511721799364557,0.16090771274504595,0.11588269151645962
B1,account_name,0.3507310091363537,0.16116393749149802,0.33660138286651736
B1,collection_name,0.43368338122917355,0.1581455587042605,-0.003197572986586394
B2,account_name,0.360091427747969,0.156907231755567,0.2957693832751591
B2,collection_name,0.4362207231543232,0.1614576946767163,0.02927927082833163
C,account_name,0.2921520215823727,0.15396831008596626,0.49093241253693076
C,collection_name,0.43709996920787203,0.1614015970184507,-0.01871593492735245
