effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
fixed,cond,(Intercept),1.5357108286520942,0.036573807515222406,41.98936159471269,0,1.464027483144758,1.6073941741594304,C
fixed,cond,content_leaning,0.15819349324115625,0.03957391282323522,3.9974185506436797,6.403701441807802e-5,0.08063004938028744,0.23575693710202505,C
fixed,cond,content_extremity,0.07241863418128554,0.03593862291310798,2.0150642487437134,0.043897917605030506,0.00198022761762795,0.14285704074494313,C
fixed,cond,publisher_leaning,0.09912677747977287,0.028672450413320054,3.457213319783879,5.45792616804358e-4,0.04292980732115499,0.15532374763839074,C
fixed,cond,publisher_extremity,0.11369274437862317,0.027856469725138097,4.0813766245485565,4.4769740646117114e-5,0.05909506698092214,0.1682904217763242,C
fixed,cond,rph_delta,-0.17295854993326815,0.01958834891123545,-8.829664547891674,1.0499012375842323e-18,-0.21135100831589398,-0.1345660915506423,C
fixed,cond,toxicity,-0.14872299704506664,0.02405364051381415,-6.182972467708335,6.290568906237875e-10,-0.19586726614921587,-0.10157872794091741,C
fixed,cond,log_total_reactions,-0.11515026371655362,0.022282935889643803,-5.167643271372995,2.3706422978727993e-7,-0.15882401553007047,-0.07147651190303679,C
fixed,cond,log_author_links,-0.07116142040870821,0.027793080849991218,-2.5604005828929433,0.010455157262379357,-0.12563485789410087,-0.01668798292331556,C
fixed,cond,Economy,0.034429728102806194,0.04066828882848161,0.8465988880922302,0.39721873390688744,-0.04527865331389037,0.11413810951950276,C
fixed,cond,Education,0.1127917573637935,0.041165334980393826,2.7399693800017375,0.0061444908494140546,0.03210918339069477,0.19347433133689224,C
fixed,cond,Health,-0.09624022941433326,0.04780701317829819,-2.0130985605689573,0.044104261643687734,-0.18994025345222942,-0.0025402053764370797,C
fixed,cond,Security,0.07903029216373457,0.0518590913261356,1.5239428640722328,0.12752298458669656,-0.02261165910646469,0.18067224343393384,C
fixed,cond,Culture,-0.09300841893113544,0.05615765323393015,-1.656202023679655,0.09768091357651161,-0.20307539672592778,0.01705855886365691,C
fixed,cond,Religion,-0.018231298189180845,0.04119012253014136,-0.4426133516801237,0.658045425675179,-0.09896245486704973,0.06249985848868804,C
fixed,cond,Disinformation,-0.10051636315234809,0.04796989617973811,-2.0954050593673155,0.03613500016356476,-0.1945356320067603,-0.006497094297935879,C
fixed,cond,Election,-0.010771813431759866,0.05059363289896803,-0.2129084790821491,0.8313983486594942,-0.109933511760778,0.08838988489725826,C
fixed,cond,Politics,0.0852627074971657,0.056943634129446155,1.4973176334925111,0.13431062873625726,-0.02634476454537457,0.19687017953970598,C
fixed,cond,Corruption,0.017501582995559047,0.053358111331969243,0.3280022954087031,0.7429099270685857,-0.08707839349817917,0.12208155948929728,C
fixed,cond,reaction_score,0.9508005688967287,0.03183535766776939,29.866181458339135,5.412140507333425e-196,0.8884044144329497,1.0131967233605077,C
fixed,cond,(Intercept),-2.5719358247859225,0.050428088408783524,-51.0020487776004,0,-2.67077306187634,-2.473098587695505,D1
fixed,cond,content_leaning,-0.304662066290247,0.057661826325669775,-5.283600706116,1.2666917970931105e-7,-0.4176771691713633,-0.1916469634091307,D1
fixed,cond,content_extremity,-0.18921245348606097,0.05464588217486378,-3.4625198817468377,5.351423759027089e-4,-0.2963164144522133,-0.08210849251990866,D1
