effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high,threshold,n_obs,n_publishers,converged,R2_marginal,predictor_sd,raw_estimate
fixed,cond,(Intercept),1.5357158407191307,0.03657404992369042,41.98922033308617,0,1.4640320200999275,1.607399661338334,1,4584,1243,TRUE,0.7618386008907584,NA,NA
fixed,cond,content_leaning,0.15819376290427412,0.03957392129602773,3.997424508956937,6.403540308487388e-5,0.08063030243703713,0.23575722337151112,1,4584,1243,TRUE,0.7618386008907584,0.4314506482787382,0.3666555225618139
fixed,cond,content_extremity,0.07241771783048205,0.03593862844214659,2.0150384410762614,0.04390062142160761,0.0019793004301079248,0.14285613523085616,1,4584,1243,TRUE,0.7618386008907584,0.2346613166536162,0.3086052650824333
fixed,cond,publisher_leaning,0.09912491078528678,0.02867248240503039,3.4571443583097636,5.459323128791469e-4,0.04292787792406883,0.15532194364650473,1,4584,1243,TRUE,0.7618386008907584,0.5992102565153696,0.16542592471920453
fixed,cond,publisher_extremity,0.11369155557542901,0.027856531657577253,4.081324874645827,4.477971158260339e-5,0.05909375679237775,0.16828935435848028,1,4584,1243,TRUE,0.7618386008907584,0.33457387477017597,0.33981002148935124
fixed,cond,rph_delta,-0.17295693220211142,0.01958836095108337,-8.829576534454544,1.0507276801244452e-18,-0.21134941418240558,-0.13456445022181726,1,4584,1243,TRUE,0.7618386008907584,0.26914196641086413,-0.6426234247619359
fixed,cond,toxicity,-0.14871987848071339,0.02405371018801427,-6.1828249080185165,6.296453978446318e-10,-0.1958642841437855,-0.10157547281764126,1,4584,1243,TRUE,0.7618386008907584,0.1570515327225278,-0.9469495515428401
fixed,cond,reaction_score,0.9508088621231372,0.03183525564501966,29.866537675248185,5.354802755049331e-196,0.8884129076202733,1.0132048166260013,1,4584,1243,TRUE,0.7618386008907584,0.15998613489461663,5.943070396378023
fixed,cond,log_total_reactions,-0.11514866383801121,0.022282959497171167,-5.167565998252135,2.3716223263641012e-7,-0.15882246192143146,-0.07147486575459099,1,4584,1243,TRUE,0.7618386008907584,1.5866604548389187,-0.07257297141731649
fixed,cond,log_author_links,-0.07115597379660549,0.02779329397327165,-2.5601849807739594,0.010461646167156698,-0.12562982899595204,-0.016682118597258926,1,4584,1243,TRUE,0.7618386008907584,1.6871478099530393,-0.042175305196636016
fixed,cond,Economy,0.03442792077076176,0.04066827285075359,0.8465547798675155,0.3972433280602363,-0.04528042933016334,0.11413627087168686,1,4584,1243,TRUE,0.7618386008907584,0.21216998143915264,0.1622657481385283
fixed,cond,Education,0.11279370485585412,0.041165347577839774,2.7400158505299124,0.006143622145393038,0.032111106192215036,0.1934763035194932,1,4584,1243,TRUE,0.7618386008907584,0.1900630185097405,0.5934542434412278
fixed,cond,Health,-0.09623859045704079,0.04780700251531379,-2.013064726787946,0.044107820429906824,-0.18993859359587156,-0.002538587318210009,1,4584,1243,TRUE,0.7618386008907584,0.21061191797017456,-0.4569475050821647
fixed,cond,Security,0.07902643662657009,0.05185908106287268,1.523868819248077,0.12754148392163553,-0.022615494528003488,0.18066836778114367,1,4584,1243,TRUE,0.7618386008907584,0.2401324593886143,0.3290951869971023
fixed,cond,Culture,-0.09301638936184191,0.056157618268608565,-1.6563449845207725,0.09765197549453732,-0.20308329862586327,0.017050519902179442,1,4584,1243,TRUE,0.7618386008907584,0.2226118714933949,-0.4178411004671051
fixed,cond,Religion,-0.01822342604415164,0.04119013089352432,-0.44242214454862594,0.6581837574501158,-0.09895459911394994,0.06250774702564665,1,4584,1243,TRUE,0.7618386008907584,0.19273946295764888,-0.09454953212231332
fixed,cond,Disinformation,-0.10050072567578469,0.04796988409818158,-2.09507960182031,0.03616391689816826,-0.1945199708507812,-0.006481480500788173,1,4584,1243,TRUE,0.7618386008907584,0.28456943661192474,-0.3531676727913698
fixed,cond,Election,-0.010775245259557273,0.050593627123476086,-0.21297633461344426,0.8313454214629978,-0.10993693226881919,0.08838644174970466,1,4584,1243,TRUE,0.7618386008907584,0.32350322177282964,-0.03330799984157148
fixed,cond,Politics,0.08526552877986707,0.05694365026638761,1.4973667543437612,0.13429785392401972,-0.026341974890497277,0.1968730324502314,1,4584,1243,TRUE,0.7618386008907584,0.30550005870376523,0.2791015135697458
fixed,cond,Corruption,0.01748915617456147,0.053358100750218684,0.3277694657167833,0.7430859758846072,-0.08709079957932676,0.1220691119284497,1,4584,1243,TRUE,0.7618386008907584,0.2407258812396308,0.07265174847216314
fixed,cond,(Intercept),1.5361874422440027,0.03813106141067157,40.28703595998188,0,1.4614519351868014,1.610922949301204,2,4213,879,TRUE,0.7605740619531953,NA,NA
fixed,cond,content_leaning,0.15050989824694963,0.039808916251766906,3.7808087337788128,1.5631973657368286e-4,0.07248585612991527,0.228533940363984,2,4213,879,TRUE,0.7605740619531953,0.4273575259698383,0.3521873117956327
fixed,cond,content_extremity,0.05719029428974446,0.03639813486610766,1.571242441408654,0.11612634523046217,-0.014148739152258165,0.12852932773174708,2,4213,879,TRUE,0.7605740619531953,0.2331565190409897,0.24528713383171677
fixed,cond,publisher_leaning,0.10414464554548569,0.029899464364879183,3.483160911331146,4.955304244656199e-4,0.04554277223328375,0.16274651885768765,2,4213,879,TRUE,0.7605740619531953,0.5827221886271615,0.17872091981058874
fixed,cond,publisher_extremity,0.08979657125037208,0.03073019578788303,2.9220956439782597,0.0034768475418530675,0.02956649426825688,0.15002664823248726,2,4213,879,TRUE,0.7605740619531953,0.31976238079361835,0.280822812950998
fixed,cond,rph_delta,-0.2005660011457609,0.0204851821420173,-9.790784370639233,1.2333535243859797e-22,-0.24071622036085788,-0.16041578193066391,2,4213,879,TRUE,0.7605740619531953,0.2755403368080268,-0.7279006894932349
fixed,cond,toxicity,-0.16222523804367434,0.02492073342308881,-6.509649426825226,7.532639217358699e-11,-0.21106897802125196,-0.11338149806609671,2,4213,879,TRUE,0.7605740619531953,0.15775126359321712,-1.0283609420840771
fixed,cond,reaction_score,0.9396400507210073,0.0323318763717321,29.062342065075406,1.0746166226502133e-185,0.8762707374798109,1.0030093639622037,2,4213,879,TRUE,0.7605740619531953,0.1583554835850976,5.933738633156081
fixed,cond,log_total_reactions,-0.11346514173989526,0.023293988101053497,-4.871005396227694,1.110318071459887e-6,-0.15912051947426467,-0.06780976400552585,2,4213,879,TRUE,0.7605740619531953,1.6081285072993665,-0.07055726033390489
fixed,cond,log_author_links,-0.1297046786895154,0.03096435343414004,-4.188838593558627,2.8038572809515798e-5,-0.19039369622499902,-0.0690156611540318,2,4213,879,TRUE,0.7605740619531953,1.5315008740240654,-0.08469122080793359
fixed,cond,Economy,0.0267967522656204,0.04145331151354355,0.6464321253771346,0.5179995409305425,-0.05445024534084449,0.10804374987208529,2,4213,879,TRUE,0.7605740619531953,0.21191221973889698,0.1264521333344412
fixed,cond,Education,0.11909674292435544,0.04230847662739448,2.81496173859498,0.0048783041547077214,0.036173652493907624,0.20201983335480328,2,4213,879,TRUE,0.7605740619531953,0.18973231133468357,0.6277093347282923
fixed,cond,Health,-0.10119733622047276,0.04903743961173886,-2.063674959820854,0.03904854505229967,-0.19730895175353874,-0.0050857206874068,2,4213,879,TRUE,0.7605740619531953,0.21062576460818203,-0.48046038626245835
fixed,cond,Security,0.07871243791643544,0.05287277372244793,1.488713989729971,0.13656269951303432,-0.02491629434229825,0.18234117017516913,2,4213,879,TRUE,0.7605740619531953,0.2402998854467529,0.32755919866585625
fixed,cond,Culture,-0.1018168713295026,0.05726965297826414,-1.7778503279589577,0.07542844012672024,-0.21406332857400734,0.010429585915002135,2,4213,879,TRUE,0.7605740619531953,0.22289436584451838,-0.4567942798541876
fixed,cond,Religion,-0.002483835628964284,0.04213595213249312,-0.05894813106759905,0.9529934216282672,-0.08506878426295447,0.0801011130050259,2,4213,879,TRUE,0.7605740619531953,0.19320935055641889,-0.012855669882493505
fixed,cond,Disinformation,-0.11932868760928257,0.04932051864124039,-2.4194532194051863,0.015543859924443633,-0.21599512784495006,-0.022662247373615066,2,4213,879,TRUE,0.7605740619531953,0.28531969542966096,-0.41822800711176394
fixed,cond,Election,0.0019868308222283832,0.05196227897950314,0.03823602161506622,0.9694995007889994,-0.09985736453222047,0.10383102617667722,2,4213,879,TRUE,0.7605740619531953,0.32424498769090293,0.0061275606336354356
